====================== Pair 1 ======================
In_Time		Out_Time	Long\Short	PNL	  PNL_sum	Info
2013-06-03	2013-07-05	RB1401\RB1310	-0.0004	  -0.0004	RB1310基差越下限入场，基差回归出场
2013-07-18	2013-08-08	RB1310\RB1401	0.0048	  0.0044	RB1310基差越上限入场，基差回归出场
2013-08-12	2013-08-14	RB1401\RB1310	0.0021	  0.0065	RB1310基差越下限入场，基差回归出场
2013-08-16	2013-09-30	RB1310\RB1401	-0.0041	  0.0024	RB1310基差越上限入场，最后时间出场

Time		RB1310	RB1401	Basis1	Basis2	PNL_daily PNL_sum
2013-09-11	3541	3727	-61	-247	0.0018	  -0.0075
2013-09-12	3541	3713	-71	-243	0.0038	  -0.0038
2013-09-13	3522	3657	-62	-197	0.0098	  0.0061
2013-09-16	3515	3647	-65	-197	0.0007	  0.0068
2013-09-17	3507	3647	-57	-197	-0.0023	  0.0045
2013-09-18	3510	3633	-60	-183	0.0047	  0.0092
2013-09-23	3511	3655	-61	-205	-0.0058	  0.0035
2013-09-24	3503	3627	-53	-177	0.0054	  0.0089
2013-09-25	3494	3626	-44	-176	-0.0023	  0.0066
2013-09-26	3479	3613	-39	-173	-0.0007	  0.0059
2013-09-27	3451	3576	-11	-136	0.0022	  0.0081
2013-09-30	3442	3587	-2	-147	-0.0057	  0.0024


====================== Pair 2 ======================
In_Time		Out_Time	Long\Short	PNL	  PNL_sum	Info
2013-10-08	2013-10-22	RB1310\RB1401	0.0011	  0.0011	RB1310基差越上限入场，达到最大持有时间出场
2013-10-23	2013-11-06	RB1310\RB1401	0.0045	  0.0057	RB1310基差越上限入场，达到最大持有时间出场
2013-11-07	2013-11-21	RB1310\RB1401	0.0143	  0.0200	RB1310基差越上限入场，达到最大持有时间出场
2013-11-22	2013-12-06	RB1310\RB1401	-0.0090	  0.0110	RB1310基差越上限入场，达到最大持有时间出场
2013-12-09	2013-12-23	RB1310\RB1401	0.0244	  0.0353	RB1310基差越上限入场，达到最大持有时间出场
2013-12-24	2013-12-30	RB1310\RB1401	0.0309	  0.0662	RB1310基差越上限入场，最后时间出场

Time		RB1310	RB1401	Basis1	Basis2	PNL_daily PNL_sum
2013-10-08	3411	3599	29	-159	0.0000	  0.0000
2013-10-09	3390	3589	50	-149	-0.0034	  -0.0034
2013-10-10	3376	3597	84	-137	-0.0064	  -0.0098
2013-10-11	3395	3601	65	-141	0.0045	  -0.0053
2013-10-14	3371	3625	89	-165	-0.0137	  -0.0190
2013-10-15	3375	3606	85	-146	0.0064	  -0.0126
2013-10-16	3375	3567	75	-117	0.0109	  -0.0017
2013-10-17	3375	3558	65	-118	0.0025	  0.0008
2013-10-18	3375	3568	65	-128	-0.0028	  -0.0020
2013-10-21	3375	3570	55	-140	-0.0006	  -0.0025
2013-10-22	3375	3557	55	-127	0.0036	  0.0011
2013-10-23	3375	3537	55	-107	0.0000	  0.0011
2013-10-24	3375	3519	55	-89	0.0051	  0.0062
2013-10-25	3375	3486	45	-66	0.0094	  0.0157
2013-10-28	3375	3485	45	-65	0.0003	  0.0159
2013-10-29	3375	3494	45	-74	-0.0026	  0.0134
2013-10-30	3375	3521	65	-81	-0.0077	  0.0057
2013-10-31	3375	3506	85	-46	0.0043	  0.0099
2013-11-01	3375	3542	85	-82	-0.0102	  -0.0003
2013-11-04	3375	3536	85	-76	0.0017	  0.0014
2013-11-05	3375	3534	125	-34	0.0006	  0.0020
2013-11-06	3375	3521	165	19	0.0037	  0.0057
2013-11-07	3375	3580	185	-20	0.0000	  0.0057
2013-11-08	3375	3566	205	14	0.0039	  0.0096
2013-11-11	3375	3563	225	37	0.0008	  0.0104
2013-11-12	3375	3557	245	63	0.0017	  0.0121
2013-11-13	3375	3544	255	86	0.0037	  0.0158
2013-11-14	3375	3521	255	109	0.0065	  0.0223
2013-11-15	3375	3506	255	124	0.0043	  0.0265
2013-11-18	3375	3506	235	104	0.0000	  0.0265
2013-11-19	3375	3532	225	68	-0.0074	  0.0192
2013-11-20	3375	3544	215	46	-0.0034	  0.0158
2013-11-21	3375	3529	215	61	0.0042	  0.0200
2013-11-22	3375	3528	215	62	0.0000	  0.0200
2013-11-25	3375	3534	235	76	-0.0017	  0.0183
2013-11-26	3375	3546	235	64	-0.0034	  0.0149
2013-11-27	3375	3540	245	80	0.0017	  0.0166
2013-11-28	3375	3557	245	63	-0.0048	  0.0118
2013-11-29	3375	3550	245	70	0.0020	  0.0138
2013-12-02	3375	3569	245	51	-0.0053	  0.0085
2013-12-03	3375	3582	265	58	-0.0036	  0.0048
2013-12-04	3375	3581	275	69	0.0003	  0.0051
2013-12-05	3375	3563	275	87	0.0050	  0.0101
2013-12-06	3375	3560	275	90	0.0008	  0.0110
2013-12-09	3375	3575	275	75	0.0000	  0.0110
2013-12-10	3375	3578	275	72	-0.0008	  0.0101
2013-12-11	3375	3595	275	55	-0.0047	  0.0054
2013-12-12	3375	3593	275	57	0.0006	  0.0060
2013-12-13	3375	3559	275	91	0.0095	  0.0155
2013-12-16	3375	3545	275	105	0.0039	  0.0194
2013-12-17	3375	3538	265	102	0.0020	  0.0214
2013-12-18	3375	3540	255	90	-0.0006	  0.0208
2013-12-19	3375	3531	245	89	0.0025	  0.0234
2013-12-20	3375	3535	215	55	-0.0011	  0.0222
2013-12-23	3375	3489	185	71	0.0131	  0.0353
2013-12-24	3375	3485	165	55	0.0000	  0.0353
2013-12-25	3375	3451	145	69	0.0098	  0.0451
2013-12-26	3375	3434	115	56	0.0049	  0.0501
2013-12-27	3375	3438	85	22	-0.0012	  0.0489
2013-12-30	3375	3379	65	61	0.0173	  0.0662


